atan-vega-3-chunk-0241.smt2: "0.0001778230000000":str
atan-vega-3-chunk-0242.smt2: "0.0005857110000000":str
atan-vega-3-chunk-0243.smt2: "0.0002925770000000":str
atan-vega-3-chunk-0247.smt2: "0.0007617190000000":str
atan-vega-3-chunk-0248.smt2: "0.0003920340000000":str
atan-vega-3-chunk-0250.smt2: "0.0008061390000000":str
atan-vega-3-chunk-0255.smt2: "0.0004929580000000":str
atan-vega-3-chunk-0257.smt2: "0.1001359500000000":str
atan-vega-3-chunk-0258.smt2: "0.0004311460000000":str
atan-vega-3-chunk-0262.smt2: "0.0001542160000000":str
atan-vega-3-chunk-0263.smt2: "0.0003163230000000":str
atan-vega-3-chunk-0266.smt2: "0.0001777530000000":str
atan-vega-3-chunk-0268.smt2: "0.0002571650000000":str
atan-vega-3-chunk-0269.smt2: "0.0002691080000000":str
atan-vega-3-chunk-0271.smt2: "0.0009391920000000":str
atan-vega-3-chunk-0272.smt2: "0.0005338870000000":str
atan-vega-3-chunk-0274.smt2: "0.0002179830000000":str
atan-vega-3-chunk-0275.smt2: "0.0001490470000000":str
atan-vega-3-chunk-0277.smt2: "0.2652573410000000":str
atan-vega-3-chunk-0278.smt2: "0.0898612050000000":str
atan-vega-3-chunk-0282.smt2: "0.0002814710000000":str
atan-vega-3-chunk-0286.smt2: "0.1252604850000000":str
atan-vega-3-chunk-0288.smt2: "0.0002109990000000":str
atan-vega-3-chunk-0292.smt2: "0.0856056830000000":str
atan-vega-3-chunk-0294.smt2: "0.1239691240000000":str
atan-vega-3-chunk-0297.smt2: "0.1880257100000000":str
atan-vega-3-chunk-0305.smt2: "0.0004103330000000":str
atan-vega-3-chunk-0306.smt2: "0.1283354860000000":str
atan-vega-3-chunk-0312.smt2: "0.0001431100000000":str
atan-vega-3-chunk-0314.smt2: "0.2927230090000000":str
atan-vega-3-chunk-0315.smt2: "0.0903992700000000":str
atan-vega-3-chunk-0321.smt2: "0.1939500560000000":str
atan-vega-3-chunk-0323.smt2: "0.0946774770000000":str
atan-vega-3-chunk-0324.smt2: "0.3285779030000000":str
atan-vega-3-chunk-0326.smt2: "0.0994861610000000":str
atan-vega-3-chunk-0334.smt2: "0.1440066280000000":str
atan-vega-3-chunk-0338.smt2: "0.0949265300000000":str
atan-vega-3-chunk-0345.smt2: "0.1916318420000000":str
atan-vega-3-chunk-0347.smt2: "0.0925229900000000":str
atan-vega-3-chunk-0350.smt2: "0.0005396140000000":str
atan-vega-3-chunk-0366.smt2: "0.2147693130000000":str
atan-vega-3-chunk-0372.smt2: "0.1041408950000000":str
atan-vega-3-chunk-0374.smt2: "0.0911670410000000":str
atan-vega-3-chunk-0375.smt2: "0.1000379790000000":str
atan-vega-3-chunk-0378.smt2: "0.1143312470000000":str
atan-vega-3-chunk-0379.smt2: "0.2025962630000000":str
atan-vega-3-chunk-0380.smt2: "0.2910042500000000":str
atan-vega-3-chunk-0388.smt2: "0.2405680150000000":str
atan-vega-3-chunk-0389.smt2: "0.1550338770000000":str
atan-vega-3-chunk-0394.smt2: "0.1930542370000000":str
atan-vega-3-chunk-0407.smt2: "0.0000761300000000":str
atan-vega-3-chunk-0408.smt2: "0.0913292660000000":str
atan-vega-3-chunk-0409.smt2: "0.0003468450000000":str
atan-vega-3-chunk-0411.smt2: "0.4991179750000000":str
atan-vega-3-chunk-0414.smt2: "0.0913782170000000":str
atan-vega-3-chunk-0417.smt2: "0.2998183400000000":str
atan-vega-3-chunk-0419.smt2: "0.0912038170000000":str
atan-vega-3-chunk-0420.smt2: "0.3184394870000000":str
atan-vega-3-chunk-0422.smt2: "0.1114404410000000":str
atan-vega-3-chunk-0430.smt2: "0.2036719290000000":str
atan-vega-3-chunk-0434.smt2: "0.0906878700000000":str
atan-vega-3-chunk-0435.smt2: "0.1738585820000000":str
atan-vega-3-chunk-0437.smt2: "0.2072748960000000":str
atan-vega-3-chunk-0439.smt2: "0.0914813660000000":str
atan-vega-3-chunk-0444.smt2: "0.0057039390000000":str
atan-vega-3-chunk-0448.smt2: "0.1960077310000000":str
atan-vega-3-chunk-0450.smt2: "0.0885086610000000":str
atan-vega-3-chunk-0453.smt2: "2.0503207660000000":str
atan-vega-3-chunk-0456.smt2: "0.1918828520000000":str
atan-vega-3-chunk-0461.smt2: "0.1084692470000000":str
atan-vega-3-chunk-0462.smt2: "0.1235613170000000":str
atan-vega-3-chunk-0464.smt2: "0.0925644030000000":str
atan-vega-3-chunk-0465.smt2: "0.2398655550000000":str
atan-vega-3-chunk-0468.smt2: "0.0931547870000000":str
atan-vega-3-chunk-0469.smt2: "0.3225070270000000":str
atan-vega-3-chunk-0470.smt2: "0.5477392180000000":str
atan-vega-3-chunk-0474.smt2: "1.1083379990000000":str
atan-vega-3-chunk-0477.smt2: "0.0009096460000000":str
atan-vega-3-chunk-0479.smt2: "0.0001303980000000":str
atan-vega-3-chunk-0480.smt2: "0.0014322880000000":str
atan-vega-3-chunk-0482.smt2: "0.1953020020000000":str
atan-vega-3-chunk-0486.smt2: "0.0001283730000000":str
atan-vega-3-chunk-0487.smt2: "0.0011267210000000":str
atan-vega-3-chunk-0488.smt2: "0.0001493260000000":str
atan-vega-3-chunk-0492.smt2: "0.0032262960000000":str
atan-vega-3-chunk-0496.smt2: "0.0001141950000000":str
atan-vega-3-chunk-0500.smt2: "0.0005370290000000":str
atan-vega-3-chunk-0504.smt2: "0.1065234380000000":str
atan-vega-3-chunk-0506.smt2: "0.0952959630000000":str
atan-vega-3-chunk-0507.smt2: "0.1329852980000000":str
atan-vega-3-chunk-0510.smt2: "0.0886866420000000":str
atan-vega-3-chunk-0511.smt2: "0.1164272820000000":str
atan-vega-3-chunk-0512.smt2: "0.2145738520000000":str
atan-vega-3-chunk-0519.smt2: "0.3041992570000000":str
atan-vega-3-chunk-0522.smt2: "0.0041054900000000":str
atan-vega-3-chunk-0524.smt2: "0.0937160880000000":str
atan-vega-3-chunk-0526.smt2: "0.2945128100000000":str
atan-vega-3-chunk-0527.smt2: "0.1917813510000000":str
atan-vega-3-chunk-0528.smt2: "0.1210444380000000":str
atan-vega-3-chunk-0534.smt2: "0.0027193690000000":str
atan-vega-3-chunk-0539.smt2: "0.1135842040000000":str
atan-vega-3-chunk-0541.smt2: "0.0006244040000000":str
